,Nickname,Review,Hashtag
1864,kgm868686, 2020.02.14.,"마카롱,투썸,선물,맛있당,잘먹을게,고맙습니당,먹방,일상,소통,좋아요,굿"
1865,kgm868686, 2020.05.29. 식단표는 맘에 들었었는데.... 보기에는 맛나보이지만~~ 아쉽게 맛은... 라면은 좀 싱겁구~ 토스트도~,"점심시간,구내식당,야채라면,토스트,후리가케밥,요쿠르트,먹스타그램,먹방,일상,소통,좋아요,굿"
1866,o_ourcafe,,"석사동카페,카페공감"
1867,comoosoo, 보라매공원 산책하며 마신 이디야커피 음료 메뉴도 다양한 편이고 가격이 저렴해서 좋다 . . .,"카페,보라매카페,신림카페,이디야,이디야커피,산책,보라매,공원,간식,간식스타그램,푸드스타그램,맛스타그램,먹스타그램,맛있다그램,먹스타,먹부림,맛집그램,선팔,맞팔,선팔맞팔,일상,데일리,food,daily"
1868,comoosoo, 매송휴게소에서 먹은 우동 뜨끈뜨끈 맛있다~ 아직까진 뜨끈한게 땡긴다! . . .,"우동,휴게소,매송휴게소,면스타그램,우동,점심,간식,간식스타그램,휴게소음식,휴게소음식추천,면,푸드스타그램,맛스타그램,먹스타그램,맛있다그램,먹스타,먹부림,디저트,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily"
1869,comoosoo, 북한강이 보이는 카페 위드메이크 남자친구랑 같이 갔다 옴! 분위기도 좋고 메뉴들도 맛있다 모양도 귀엽고 맛있었던 치즈케이크 카페 앞에 북한강공원이 있어서 산책하고 자전거타고 맛있는 디저트도 먹고 꿀잼 데이트 하고 돌아왔다 . . .,"위드메이크,카페,카페위드메이크,남양주카페,가평카페,대성리카페,북한강카페,청평카페,드라이브,북한강드라이브,피크닉카페,피크닉세트,피크닉,북한강산책,가평여행,대성리여행,대성리,가평,일상,자연,청평여행,일상스타그램,데이트코스,가평데이트,커플,럽스타그램,커플여행,선팔,맞팔"
1870,o_ourcafe,,"파주카페,필무드"
1871,kgm868686, 2018.11.06. @busansochic,"셜록홈즈,연극,남포동,조은극장2관,부산소식,이벤트,당첨,감사해요,번창하길,재밌당,배우들,다잘생김,빵터짐,홈즈는,왜중간에,빵터졌을까,문화생활그램,공연스타그램"
1872,comet.way, 벚꽃 필 무렵 오기 좋은 곳 커피맛은 내 취향은 아니었던,"연남동벚꽃집,연남카페,연남동카페,서울카페,카페투어,카페,커피,카페스타그램,커피스타그램,데일리,daily,landscape,korea,digital,koreacafe,cafetour,coffeelover,coffeeshop,coffeetime,cafe,coffee,coffeeoftheday,cafestagram,photooftheday,photoshoot,snap"
1873,kgm868686, 2017.6.22. 일마치고 식당으로 고고~~ 방도있어서 딱 좋았다 우리들만의 공간처럼 너무좋다 맛있다 완전 굿 술은 요것들도 맛있쪙,"턴잉모임,목요일,불목,무샤,부산시청,먹스타그램,술스타그램,퇴근후,직장인스타그램,연어사시미,클라우드,차돌박이우동볶음,차돌박이나가사키짬뽕"
1874,kgm868686, 2020.08.03. @stunning_kelly_0917 님 필요해서 ㅋ 편의점서 사옴 ㅋ 히힛 이제 요플레먹고 다이어트 해볼까나? 할수있을까나... ㅋ,"이벤트,GS25,쿠폰,당첨,듀오안,듀오안저지방플레인,듀오안사과,집에,요플레,만들어먹기,감사합니다,일상,소통,좋아요,굿"
1875,zesnie_,,디오더카페
1876,time2drink_coffee, 점심시간에라도 숨좀 트자,"세종시카페,조치원카페,카페단콩,단콩,소금커피,소금커피오리지널"
1877,c.eunae_, sun chamber society,"은애_카페기록,선챔버소사이어티,인천카페"
1878,pin__gu__, 사유,
1879,cafe.touring, 오랜만에 간 카투에서 한상차림,
1880,comoosoo, 카페 테르 분위기도 좋고 베이커리와 커피가 맛있는 곳 라즈베리타르트 . . .,"카페투어,샤로수길카페,샤로수길,카페,디저트,카페테르,테르,서울대입구카페,커피,카페투어,감성카페,cafe,coffee,dessert,cafetour,CAFETERR"
1881,comoosoo," 모닝카페 연곳이 없어서 처음와본 카페퍼블리코 아이스아메리카노,유자레몬에이드 . . .","카페퍼블리코,아메리카노,신대방삼거리카페,신대방삼거리맛집,모닝커피,커피,에이드,유자레몬에이드,카페,디저트맛집,신대방삼거리디저트맛집,디저트카페,데이트장소추천,디저트그램,푸드스타그램,맛스타그램,먹스타그램,디저트,분위기좋은카페,간식,간식스타그램,선팔,맞팔,일상,데일리,food,daily,cafe,dessert"
1882,cafe_onni, 단양에 신상카페가!!>_<,"단양카페,올빅,카페올빅,상진카페,카페스타그램,카페투어,onni_단양"
1883,kgm868686, 2018.12.27.,"목요일,교대,시그니처,새우필라프,스테이크로제파스타,치즈프렌치프라이,파울라너,자몽에이드,조용하고,분위기있당,먹스타그램,술스타그램,연말모임"
1884,foodie_mingg, 맛있고 분위기 좋은 파스타집오랜만에 먹물리조또도 먹어따 . . .,"거제맛집,수월맛집,파스타웨이브,푸밍_거제,거제도여행,거제도맛집,거제핫플,거제카페,거제맛집추천,거제가볼만한곳,거제도핫플,거제파스타,거제파스타맛집,거제수월맛집,수월동맛집,거제파스타웨이브,먹스타그램,먹방,먹스타맞팔,먹방스타그램,먹방투어,맛스타그램,맛집,맛집추천,맛집투어,맛팔,일상스타그램,일상,맞팔"
1885,cafe.touring, 올해도 이틀도 안남았네욥모두 2019년 잘 마무리 하세용,
1886,kgm868686, 2019.04.10.,"점심,촌국수,연금공단옆,안간지몇달,확장했당,넓어짐,굿,콩나물비빔밥,잔치국수,역시,맛있다,간소고기,엄정많음,오랜만,가격은오른듯,먹스타그램,맛스타그램"
1887,spot.coffee_h," - 익산 왕궁에 위치한 한옥카페, 할머니 모시고 갔는데 분위기도 맛도 전통 그자체! 직접 담근 청을 사용하고 커피 또한 고소하니 맛있었어요 요즘 같은 코로나 시기에 좋게 각각 방에 들어가서 머물기 좋았어요 _","셀카,카페,커피,일상,한옥카페,익산카페,왕궁다원,왕궁,익산왕궁,카페추천,근교여행,여행,카페,카페투어,커피맛집,익산여행"
1888,o_ourcafe,,"춘천마카롱,한입당"
1889,comoosoo," 샐러드보울 두툼산도 3종 이름과 같이 두툼하게 들어있는 속이 아주 실한 샌드위치들 계란,돈까스,새우튀김 취향대로 골라먹기 나는 새우튀김이 제일 좋다 빵도 퍽퍽하지않고 촉촉해서 더 좋았던 샐러드보울 두툼산도 한끼로 든든하고 좋아요 . 구입 @the_salad_bowl .","샐러드보울,두툼산도,샌드위치,샌드위치맛집,샌드위치도시락,산도,카츠산도,에비산도,타마고산도,온더테이블,도시락,피크닉,피크닉도시락,맛집,오늘뭐먹지,푸드스타그램,맛스타그램,먹스타그램,일상,데일리,존맛탱,JMT,food,daily,fff,onthetable,foodstagram"
1890,kgm868686, 2020.02.08.,"초량1941,카페,초량카페,핫플레이스,커피바닐라우유,동백우유,오래된건물,고즈넉,우유카페,아기자기,오랜만에,호빵,맛있당,카페스타그램,일상,소통,좋아요"
1891,comet.way, 위시리스트에 있었는데 성북동쪽 일이 있어서 대기 타려고 들렀다. 생각만큼 취저공간이었던 아아랑 쿠키도,"해로커피,성북동카페,한성대입구카페,카페기록,한옥카페,서울카페"
1892,cafe_girok, 여유로운 오후를 보낼수있는 카페  양씨네제빵소  달콤한 초콜릿향과 다양한 베이커리가 돋보인다. —————————————— where : 서울 동작구 성대로1길 18-5 when : 09:00 - 22:00 (월요일 휴무) what : 아인슈페너 (5.5) 초코바나나크로아상 (4.5),ㅋㅍㄱㄹ
1893,kgm868686, 2020.07.12. 친구가 핸드메이드 페어에 참여해서 구경갔다 이쁜것들도 많고 구경거리가 쏠쏠 할때 홍보했어야 했는데 마지막날 가는 바람에... 피드도 이제야 올리네 ㅠㅠ 그래도 재밌게 구경하고 옴~~ @marob.suk 구경오세요~,"핸드메이드페어,미쓰마롭,가죽공예,가죽,벡스코,일상,소통,좋아요,굿"
1894,taxxy._.gram, 아인슈페너 . . . . . . .,"일상,카페,카페추천,카페그램,카페스타그램,카페탐방,예쁜카페,분위기맛집,분위기좋은카페,감성카페,일상스타그램,데일리,daily,사진,데일리그램,좋아요,좋반,선팔하면맞팔,맞팔,소통해요,좋아요반사,아인슈페너맛집,다이어메이커,선팔하면맞팔,팔로우미,맞팔좋아요,선팔,일산카페,일산데이트,아인슈페너"
1895,comoosoo, 바른면집 시금치파스타 고소담백느끼한게 완전 내 스타일 . . .,"맛집,건대맛집,바른면집,시금치파스타,파스타,파스타맛집,건대파스타맛집,건대데이트,건대입구맛집,간식스타그램,푸드스타그램,맛스타그램,먹스타그램,맛있다그램,먹스타,먹부림,맛집그램,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily"
1896,yooheena, xofacafe,
1897,kgm868686," 2020.01.26. 아홉산숲 있다는 것만 계속 부모님이랑 얘기하고 한번도 안가봤는데 이번에 가봄 비가 조금 흩날리긴 했는데 대나무도 많고 자연자연하고 나무 향이 진하게 베어져나와 힐링, 산책 하기 딱 좋은 곳이었다. 나무 밖에 없지만 그걸 또 좋아하는사람은 가봐도 좋을 만한 곳","아홉산숲,기장,철마,대나무,소나무,편백나무,참나무,입장료5000원,힐링,피톤치드,공기좋음,기장여행,나들이,부산여행,일상,소통,좋아요,굿"
1898,dolphinman9un, 랠리포인트: 사이드 아웃 없이 매번 랠리에서 이겨 얻은 점수,
1899,cafe_girok, 시원한 인테리어 따뜻한 감동 비지엠커피 사장님의 친절함과 센스에 기분이 절로 좋아지는 곳 ——————————————————— where: 서울시 서초구 청두곶3길 22 when: 11:00 - 22:00 what: 흑임자 (5.0) 말차 (5.0) 브라우니 (2.8),ㅋㅍㄱㄹ
1900,eeej_u, 불금친구들과,"홍콩집,멘보샤,크림새우,마라탕,딤섬,홍콩토스트,존맛탱,20분만에순삭,맛집스타그램"
1901,comet.way, 외국인들의 명소 ㅡ2018년 10월,"커피한약방,을지로카페,필름사진,필름카메라"
1902,kgm868686, 2019.05.24. ㅎ 전날 숙취로 오전엔 죽어있다가 물회먹고,"점심,소문난횟집,연산점,물회,팀장님,감사합니다,시원하다,회복,맛있당,도다리회,씹는맛,굿,국수사리,밥,매운탕,먹스타그램,소통,좋아요"
1903,kgm868686, 2017.1.6. 생길듯ㅜ 지켜봐줘용,"눈다침,뾰족한거,트라우마,경희언니작품,위로,고마워용,종일,눈감고,누워있음,도깨비씨"
1904,kgm868686, 2019.02.02.,"잼라이브,잼스무비,잼사원,이호철,우승ㅋ,우승자많당,489원,또소확행,티끌모아태산,언제,연휴동안,온가족,잼라이브하자"
1905,kgm868686, 2019.04.20.,"coffeebay,신화콘서트,끝나니,비가,갑자기,뭐임ㅋㅋ,얼른,숙소근처로,카페로,대피,친구는,시원한,키위스무벨라,나는,유자차,하도,소리질러서,목이,아파ㅋ,유자차로,보호,그래도,즐거운하루,마무리,카페스타그램"
1906,___.remember, 에브리선데이 부용점 세종 금남면 금병로 993,
1907,cadette_jeon, 일곱시에 닫는 카페 왜이리 많아용ㅎㅎ 근로자는 웁니다 요기는 아홉시까지,
1908,cafe_onni, 커피는 만랩,"단양카페,만랩커피,단양구경시장,단양카페추천,에끌레어,바움쿠헨,카페스타그램,카페투어,onni_단양"
1909,c.eunae_, 아네모오네 조용하고 분위기 좋은 카페,"은애_카페기록,아네모오네,신포동카페"
1910,cafe.touring, 주악주악 너무 주악,
1911,kgm868686," 2017.7.27. 1,2차 안주들이 좋아서 기분업~","부산시청,징기스,2차,양갈비,칭타오,맛있당,먹스타그램,술스타그램,취향저격,목요일,퇴근후,즐거운시간"
1912,kgm868686, 2019.10.02. ㅋ,"수요일,태풍오는날,약속,다향,부산시청,해물빈대떡,오징어무침,맛살계란말이,햇알밤막걸리,생탁,한병,서비스로주심,이모님,짱멋져요,맛있당,취한날,술스타그램,먹스타그램,바람대박"
1913,comoosoo, 송리단길 데이트하면서 저녁먹으러간 경양카츠! 매장도 아기자기 크리스마스 분위기 물씬 족발카츠랑 치즈카츠 먹었는데 치즈카즈는 치즈가 흘러내린다 족발카츠도 겉바속촉이라 짱맛 송로버섯 소금에 찍어먹으니 더 맛있다 돈카츠 맛집 경양카츠 송리단길가면 꼭 가보세용 . . .,"경양카츠,송리단길,송리단경양카츠,송리단길맛집,송리단길데이트,송파맛집,잠실맛집,잠실데이트,인생카츠,카츠맛집,돈카츠,석촌호수,석촌호수맛집,온더테이블,맛집,데이트,럽스타그램,푸드스타그램,맛스타그램,먹스타그램,일상,데일리,존맛탱,JMT,food,daily,foodstagram,delicious"
1914,kgm868686, 2017.4.1. 보람이 덕분에 두번째 자리서 봄 손승연 노래 완전 잘함 완전 씐난 토요일~^^,"보디가드,뮤지컬,손승연,이종혁,재밌다,문화생활그램"
1915,cafe._.oh," [NATA O BICA, 가로수길] 빈티지한 유럽풍의 느낌의 카페. 저칼로리 타르트와 커피를 캔에 먹을 수 있는 새로운 감성의 카페! 날씨가 좋은 요즘 바깥 테라스에서도 타르트와 커피를 즐길 수 있어 타르트 좋아하시는 분들에게 강추에요 ㅎㅎ",
1916,zesnie_,,"DONO,카페도노"
1917,_coffeeismylife_, 스누피,
1918,kgm868686, 2020.03.07. 모어벨라 모어스키니에서 어성초토너 당첨되서 배송왔다 깔끔한 용기에 담겨 있었고 투명했다 예전부터 어성초 하면 진정효과가 있다는 걸 알았는데 요걸 토너로~~ 어성초 식물로 어무이께서 마법 배아플때 좋다고 식혜로 만들어 주셨었는데 그때 식물이 비릿한 향이 났었는데 과연 토너에도 날까 했지만 오우 그런향 전혀 나지않고 향도 강하지 않고 순한 향이라 좋았다 화장솜에 묻혀서 팩처럼 해도 되고 닦아내도 좋고 스킨처럼 발라도 좋다 뽀루지 났는데 요거 바르고 얼른 가라 앉음 좋겠다 @dear_byul 에서 선물받음 @morebella_moreskinny 공식인스타그램 참조,"모어벨라,모어스키니,이벤트,당첨,어성초토너,진정토너,토너추천,화장솜,토너팩,180ml,데일리카밍토너,후기스타그램,뷰스타그램,뷰티,홈케어,이뻐지자,토너맛집,일상,소통,좋아요,굿,피부미인,감사합니다"
1919,comoosoo, 기적의 팬케이크라고 불리는 줄서서먹는 수플레 팬케이크 플리퍼스 압구정데이트갔다가 먹어보고왔다 분위기가 좋아서 압구정 데이트코스로 추천! 기적의 팬케이크 멜티 초콜렛 딸기 후르츠 수플레 팬케이크 비주얼도 예쁘고 폭신폭신한게 식감도 부드러운게 좋다 특히 멜티 초콜렛 팬케이크는 완전 달달한게 내 취향저격 오픈형키친이라 팬케이크 만드는 과정도 눈으로 직접 볼 수 있어서 더 좋았던 곳 역시 사람 많고 인기 많은 곳은 이유가 있다 . . .,"플리퍼스,압구정,갤러리아,디저트그램,수플레팬케이크,팬케이크,브런치,압구정맛집,압구정카페,압구정디저트,팬케이크맛집,빵지순례,간식,간식스타그램,푸드스타그램,맛스타그램,먹스타그램,맛있다그램,먹스타,먹부림,디저트,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily"
1920,o_ourcafe, 뷰맛집 카페 정보 @o_ourcafe - 구름마저 가짜 같은 바닷가 날씨  평일 낮 카페 너무 좋다 - 쏠티캐빈 카라멜 라떼 I (5.8),쏠티캐빈
1921,cafe_yeri," 우도 땅콩으로 음료와 디저트를 만드는곳 아직 안가본 사람은있어도 우도까지가서 한번만 가본사람은 없을 그런 카페. 음료맛은 물론, 땅콩맛이나는 치즈케이크는 내가 먹어본 치즈케키중 제일 꾸덕 부드럽고 맛나는 케이크였다 거기에 바람솔솔 불어오는 평상에 앉아 아름다운 우도 바다를 바라보며 먹으면 여기가 지상낙원아닐까 - 블랑로쉐 우도해안길 738","제주카페,우도카페,우도맛집,블랑로쉐,제주도카페"
1922,trebella_oly,  - . . . -  서울 송파구 마천로7길 18 1층 -,"꼬앙드파리,커피,커피투어,커피그램,커피한잔,커피투어,커피타임,커피맛집,카페,카페투어,카페스타그램,카페탐방,카페그램,카페놀이,카페디저트,송파구카페,서울카페,seoulcafe,cafe,coffee,감성사진,감성카페,송파카페,방이동카페,오금동카페"
1923,kgm868686," 2020.03.06. @samsungwelstory 직접 일회용 마스크 콧등철사 분리하고 분리수거 방법을 찍어봤어용 ㅎㅎㅎ 콧등철사 분리하고 저렇게 돌돌 말아서 쓰레기통에 버려주세용~~~ ..... 웰그리너 캠페인  일회용마스크  분리수거 방법, 알고 계신가요? 폐기 시  콧등의 철사를 분리하면 대기오염을 막을 수 있어요!  를 태그 후 일회용 마스크 분리수거 인증샷을 올리시면 이 달의 웰그리너 다섯 분을 선정해 다회용 마스크를 선물로 드립니다! (분리법은 두번째 영상을 참고해주세요!)  기간 3/6 ~3/26 발표 3/30 참여 일회용 마스크 콧등 철사 분리 인증샷 태그와 함께 업로딩하기! (게시물 좋아요, 팔로우, 댓글 참여인증 시 당첨 확률 UPUP!)  경품 필터 교체형 다회용 마스크+교체용 필터, 5명  ","웰스토리,웰그리너,웰마스크,웰스토리,웰그리너,웰마스크,웰스토리,웰그리너,웰마스크,콧등철사,분리수거,이벤트,대기오염,환경지킴이,코지킴이,친환경,캠페인,welstory,welgreener"
1924,comoosoo, 주말 끝! 주말은 언제나 빨리 흘러간드아..... . . .,"일상,주말,끝,다시,시작,일상스타그램,럽스타그램,맛스타그램,먹스타그램,데이트,데일리,소통,선팔,맞팔,좋아요,선팔맞팔,daily,date"
1925,a_cafe_record, 크로와상,"전주,전주카페,빵,디져트카페,디져트,드립커피,자몽에이드,앙버터,크로와상,인절미,객사길,객리단길,전주여행,카페투어"
1926,comoosoo," 홍대 카카오프렌즈샵 랜덤 럭키박스 판매하길래 구입! 나는 무지 반지 나왔다 3,000원의 행복 . . .","홍대,카카오프렌즈샵,반지,무지,카카오톡,카카오프렌즈,홍대놀거리,홍대데이트,카카오샵,일상,뷰티,데일리,세일,럭키박스,랜덤박스,선팔,맞팔,선팔맞팔,좋아요,소통,daily,ootd,followforfollowback,follow4like"
1927,kgm868686, 2017.2.8. 봤는데 진짜연기 짱,"조작된도시,무비스타그램,이벤트당첨,서면CGV,엄마랑,예고안보고,기대안하고,뒤로갈수록,재밌다,약간잔인,8시영화,지창욱,심은경"
1928,kgm868686, 2017.4.16. 볼일 있어서 동의대 갔다가 탐앤탐스 가서 베이글이랑 냠냠 날이 이제 아이스음료로 먹을때구낭 덥당~,"일요일,탐탐,동의대,베이글,플레인,아이스아메리카노,피곤"
1929,spot.coffee_h," - 부천에 있는 카페 soe 트렌디 감성에 따스한 햇살은 덤,","부천카페,카페,커피,카페추천,부천카페추천,soe,까치울역카페,데이트코스"
1930,kgm868686, 2019.11.03. 빨간건 찌개 흰건 맷돌순두부 나는 찌개가 더 낫긴했당 맷돌순두부는 저염이나 아이들 심심하게 먹기 딱임,"청송맷돌순두부,범어사,건강식,맷돌순두부찌개,맷돌순두부,맛있다,먹스타그램,먹방,좋아요,소통"
1931,kgm868686, 2018.4.29. 개봉때 못봤는데 카카오페이지 주말 무료 다운 기간 ㅋ 넘좋다,"라라랜드,카카오페이지,무비스타그램,눈과귀가호강,색감도예쁘고,노래도좋고,꿈을향해"
1932,dolphinman9un," 삼각지 후즈 커피 .. 상당히 맛있다호주식이라고 하든데, 호주맛이난다. 가성비 따지고 객관적 합리적으로 봣을때, 삼각지 원톱이 아닌다 싶다.",
1933,kgm868686, 2020.03.14. 케익 완죤 만남  짠거 먹고 싶다고 했더만 ㅋㅋㅋ 다먹고 이제 빠새 하나 남음... 아껴먹어야지 ㅋㅋㅋㅋ,"선물,땡큐,잘먹을게,먹스타그램,선물스타그램,일상,소통,좋아요,굿,화이트데이,초콜렛,과자,딸기케익"
1934,kgm868686, 2020.06.20. 하고 들어감 세번째 옴 ㅎㅎ 괜찮아서 주변에 추천했는데 이날은... 오징어젓갈에서 머가 나오고 전복죽에서 돌이었는지 전복 껍질이었는지 나와서 살짝 빈정..ㅋㅋㅋㅋ 근데 뭐 그럴수도 있징 ㅋㅋㅋ 하고 먹음 맛은 있다,"저녁,일광,어느멋진날,전복죽,전복밥,웨이팅,먹스타그램,먹방,일상,소통,좋아요,굿"
1935,hh_hhm_, 큐티뽀짝 . . .,"부산,광안리,소품샵,러브이즈기빙,튤립꽃다발,조화,조화해,다내꺼인척하기,일상,데일리,오프,순삭"
1936,kgm868686, 2019.09.20. - 초리조 이베리코베요타 배송되어왔다 토요일에 먹으려다 급 땡겨서 금요일 부모님과 먹기로 했다 - 생각나는건 와인에는 카나페로 먹는게 좋을것 같아서 초리조 카나페 만들기 돌입 ㅎ -먹기좋게 썰어져있어서 한장씩 떼어내어 카나페를 만들고 나머진 그냥도 먹으려고 옆에 놔뒀다 ㅎ - 때마침 캐나다서 사온 아이스와인과 함께여서 딱이었다 - 첫맛은 단백하고 끝맛은 짭쪼롬해서 달달한 아이스 와인이랑 완전 꿀조합 이었다 - 훈연향도 나서 더 맛있었다 -처음 접하신 부모님도 새로운 음식 맛봤다고 좋아하시고 잘드셨당 굿~^^ @goodsea_best 제공,"금요일,바른씨,이벤트당첨,초리조,이베리코베요타,카나페,와인안주,캐나다,아이스와인,후기스타그램,먹스타그램,술스타그램,당첨스타그램,감사합니다,잘먹었습니당"
1937,yun.sojin,,"개인공간애견카페,망우역카페,카페맛집,카페스타그램,배불러,배터져"
1938,comoosoo, 맛집 싱싱하고 저렴한 장어양식장 백두수산 HACCP 인증박은 우수한 직영 평택장어 운영! 백프로 국내산 민물장어라서 잡내도 없고 살이 뽀얗고 도톰하다 초벌되어 나오기때문에 오래 기다리지않고 금방 먹을 수 있다! 장어로 몸보신 하고 옴!! . . @beykdusoosan 010-2802-9287 경기도 평택시 오성면 강변로(당거리 293) 467 https://blog.naver.com/syh1736 . .,"평택장어맛집,백두수산,평택백두수산,민물장어,장어양식장,장어맛집,장어,장어택배,보양식,장어구이,푸드스타그램,맛스타그램,먹스타그램,맛있다그램,먹스타,먹부림,디저트,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily"
1939,cafe.touring, 귀욤귀욤 데얼커피,
1940,kgm868686, 2019.04.02. 다낭여행 갔다온 쌤이 주심 나두 다낭가고 싶당ㅋ,"말린망고,선물,달달구리,맛나다,잘먹을게용ㅋ,선물스타그램"
1941,time2drink_coffee,,"카페다방,dabang,세종시카페"
1942,kgm868686, 2018.11.16.,"점심시간,이디아,부산시청,민트라떼,상콤하고,달콤하고,맛있당,날이,추운데,딱이얌ㅋ,카페스타그램,혜자,이디아커피,자주애용하자"
1943,kgm868686, 2020.07.23. 조심하면서 회식 맛있게 먹었다 볶음밥까지 굿 비 엄청 옴~,"회식,송별식,환영식,손큰집,오리고기,양념오리고기,맛있다,폭우,먹스타그램,술스타그램,일상,소통,좋아요,굿"
1944,o_ourcafe,"  / 정말 좋았던 ,, 나의 첫 피크닉 ,  / 피드에 남겨놔야지이 /",춘천피크닉
1945,kgm868686, 2020.07.03. 패티 하고 네일까지 했다 여름이니깐~ 손톱도 이쁘게 코로나로 뭔가 답답한 마음을 이런곳에 풀게 된다 이쁘게 하니깐 기분이 풀리네 @by_gelato_factory 에서 선물받음,"젤라또팩토리,네일스티커,네일케어,네일,블루밍옐로우,노랑노랑,후기스타그램,오래가요,젤스티커,기분전환,홈네일케어,이쁘다,일상,소통,좋아요,굿"
1946,comet.way, 늦은 시간 커피는 밤잠 설칠듯하여 스트로베리밀크티 주문 맛있었는데 익숙한맛 딸기우유 데운 맛의 고급버전이랄까 담번엔 커피를 마셔봐야지 ㅡ2018년 12월,"티핑포인트커피,tippingpointcoffee,합정카페,필름사진,필름카메라"
1947,kgm868686, 2017.10.9. 다대포까지 뚫려서 엄마랑 다대포로 ㅋ 쭉타믄 되지만 ㅋ 시간은 다대포해수욕장에 바다미술제해서 감상하고 옆에 생태공원서 먹고 비록 못보고 집에왔지만 ㅋ 다대포 좋구나,"다대포해수욕장,바다미술제,몰운대,지하철이,1호선,1시간10분,싸간도시락,몰운대,갈맷길,산책,전망대,좋다,음악분수쇼는,추천"
1948,cafe_onni,,"원주카페,어반루프탑,원주혁신도시카페,행구동카페,반곡동카페,카페스타그램,카페투어,onni_원주"
1949,comoosoo, 닥터자르트 리쥬비네이팅 뷰티 밤 벌써 2번째 구입! 피부결점을 화사하게 커버해주는 비비크림 커버력 좋은 비비크림 찾는분들께 추천 . . .,"올리브영,비비크림,닥터자르트리쥬비네이팅뷰티밤,비비크림추천,뷰티,비비,BB크림,뷰스타그램,뷰티스타그램,인스타뷰티,닥터자르트,화장품,여드림,여드름커버,파우치공개,화장품추천,최애템,애정템,일상,데일리,선팔,맞팔,daily,beauty,instabeauty"
1950,cafe_onni,,"오리카페,강문해변카페,강문해수욕장,경포대카페,강릉카페,카페스타그램,카페투어,onni_강릉"
1951,kgm868686, 2019.04.18. 쓰기,"부산대,메가박스,돈,NC백화점부산대점,영화초대권,류준열,유지태,연기굿,돈에대해서,다시생각해보기,주식,돈이,많아도,없어도,고민,영화스타그램,인증샷"
1952,comoosoo, 한촌설렁탕에서 저녁식사 설렁탕 국물이 맛있고~ 한끼 식사로 완전 든든하다! 깍두기 올려먹으면 꿀맛 같이 시킨 김치전도 겉은 바삭 속은 촉촉! 다음에 또 시켜먹어야지 . . .,"맛집투어,신림맛집,보라매맛집,설렁탕,설렁탕맛집,신림역맛집,존맛,맛스타그램,먹스타그램,럽스타그램,일상,데일리,선팔,맞팔,소통,푸드스타그램,daily,food"
1953,comoosoo, 오늘회 신안 갑오징어회 냠냠 신안에서 바로 올라온 자연산 갑오징어회를 우리집 식탁에서 만나볼 수 있다 일단 두툼하고 엄청 쫄깃하다 그냥 쫄깃이 아니라 쫀득한 찰짐! 초장에 찍어먹으니 정말 맛있다 갑오징어회 오늘회에서 즐겨보세요 . . 구입 @onul_hoi . .,"제휴,오늘회,회,당일배송,서해안,갑오징어회,갑오징어,신안갑오징어,신안갑오징어회,회맛집,회택배,오징어,오징어회,안주,야식,해산물,온더테이블,맛집,오늘뭐먹지,푸드스타그램,맛스타그램,먹스타그램,일상,데일리,존맛탱,JMT,food,daily,fff"
1954,cafe_onni,,"UDALLY,유달리,원주카페,무실동카페,카페스타그램,카페투어,원주와플,onni_원주"
1955,comet.way, 카페 이름에 당이 들어가면 근거없는 믿음이.. 마카롱이 불티나게 팔리던곳. 이날 카페 갔다가 고자루 우동집 갔는데 재료 소진으로 못먹고 왔다 ㅡ2018년 12월,"마래당,전주카페,객사카페,필름사진"
1956,kgm868686, 2019.03.11.,"NH농협은행,농가소득_올라올라,이벤트,새해덕담이벤트,당첨됐어요,뽑아주셔서,감사해요,어무이가좋아하심,옥광밤,탈각밤,충남원예공동브랜드,오감,칠갑산밤ㅋ,맛나겠다,알도굴고,튼실,얼른삶아먹읍시다"
1957,o_ourcafe, -프로필 링크에 정보 있어용- 애견운동장이 있는 남춘천역 근처 애견동반카페 블랙 감성  시바견도 있어용  커피가 너무 고소한 라떼맛집 ! - 아메리카노 (4.0) / 연유라떼 (5.5) - 강원 춘천시 남춘로45번길 28 12:00 - 22:00,"춘천애견동반카페,카페멜버른"
1958,foodie_mingg, 완전 마싯었던 저녁에 가서 분위기도 젛앗고 파스타리조또 다 마싯엇따  . .,"옥천사세탁,푸밍_부산,부산,부산맛집,부산파스타,맛집,맛스타그램,맛집추천,파스타,파스타맛집,리조또,리조또맛집,분위기맛집,먹방,먹스타그램,서면맛집,전포카페거리,전포동맛집,옥천사세탁,일상,소통,맞팔"
1959,kgm868686, 2019.05.03.,"금요일,날씨좋음,더울땐,맥도날도,아이스크림,회사쌤이,직원들사줌,잘먹겠습니다,더우니깐,당춘전,시간,맛있당ㅋ"
1960,eeej_u, 제주도 우려먹기 스타트,"제주도,카페봄날,봄날,인스타감성,팔로우환영,맞팔,소통,아메리카노,카페스타그램,카페탐방,카페투어"
